Species,Reserva El Copal (Tausito),PN Tapanti--Sector Tapanti,Hotel Quelitales,Hotel Bougainvillea,HOTEL GEMA DEL BOSQUE,"PN Los Quetzales--KM 76, Providencia road",San Gerardo de Dota,Max Freq,Tax Sort
Golden-olive Woodpecker,3.91,7.66,12.61,0.1918,0.0,1.02,2.31,12.61,11737.0
Laughing Falcon,7.03,0.0,1.43,0.0959,0.0,0.0,0.0,7.03,11824.0
Barred Forest-Falcon,10.94,2.55,0.0,0.0,0.0,0.0101,1.85,10.94,11832.0
Yellow-headed Caracara,1.56,0.0,0.0,11.51,0.0,0.0,0.0,11.51,11851.0
Bat Falcon,17.2,2.55,2.01,0.0959,0.0,1.01,0.9259,17.2,11979.0
Red-fronted Parrotlet,3.13,1.53,0.0,0.0,0.0,0.0,0.463,3.13,12678.0
Barred Parakeet,4.7,3.07,14.05,0.1918,11.11,5.07,3.24,14.05,12693.0
Orange-chinned Parakeet,0.7812,1.02,0.2865,12.76,0.0,0.0,0.0,12.76,12718.0
Brown-hooded Parrot,29.71,4.59,15.76,0.0,0.0,0.0,0.0,29.71,12743.0
White-crowned Parrot,35.95,8.17,24.36,0.8629,0.0,0.0,0.0,35.95,12776.0
Sulphur-winged Parakeet,0.7812,1.53,0.0,0.1918,0.0,5.06,38.94,38.94,12951.0
Crimson-fronted Parakeet,10.16,9.2,9.17,47.68,0.0,0.0,1.39,47.68,13063.0
Rufous-rumped Antwren,1.56,1.02,0.0,0.0,0.0,0.0,0.0,1.56,13308.0
Fasciated Antshrike,3.12,0.0,0.0,0.0,0.0,0.0,0.0,3.12,13320.0
Russet Antshrike,19.54,5.61,5.16,0.0,0.0,0.0,0.0,19.54,13489.0
Plain Antvireo,23.45,3.57,2.58,0.0,0.0,0.0,0.0,23.45,13502.0
Checker-throated Stipplethroat,5.47,0.5102,0.0,0.0,0.0,0.0,0.0,5.47,13560.0
Slaty Antwren,15.63,9.19,4.58,0.0,0.0,0.0,0.0,15.63,13614.0
Dot-winged Antwren,7.82,0.5102,0.0,0.0,0.0,0.0,0.0,7.82,13685.0
Dusky Antbird,11.72,1.53,0.8596,0.0,0.0,0.0,0.0,11.72,13774.0
Chestnut-backed Antbird,1.56,1.53,0.0,0.0,0.0,0.0,0.0,1.56,13883.0
Dull-mantled Antbird,25.03,0.5102,0.0,0.0,0.0,0.0,0.0,25.03,13892.0
Zeledon's Antbird,31.28,19.4,7.74,0.0,0.0,0.0,0.0,31.28,13918.0
Bicolored Antbird,21.9,1.02,0.0,0.0,0.0,0.0,0.0,21.9,13939.0
